chapter_key	source_function_id	source_nodes	packet_refs	query_record	result_refs	evidence_class
V1-CH-001	V1-CAND-001	T1/S1/E3;T1/S1/E6;T1/S1/D2	../evidence/source-packets/arc_00.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=1].subtasks[sub_id=1]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-002	V1-CAND-002	T157/S306/D446;T157/S307;T157/S308;T157/S309	../evidence/source-packets/arc_06.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=157].subtasks[sub_id=306];tasks[task_id=157].subtasks[sub_id=307];tasks[task_id=157].subtasks[sub_id=308];tasks[task_id=157].subtasks[sub_id=309]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-003	V1-CAND-003	T157/S317/D463;T157/S318/D464;T157/S319/D465	../evidence/source-packets/arc_06.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=157].subtasks[sub_id=317];tasks[task_id=157].subtasks[sub_id=318];tasks[task_id=157].subtasks[sub_id=319]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-004	V1-CAND-004	T12/S85/D100;T12/S85/E473;T12/S86/D101;T12/S86/E483;T12/S86/E484	../evidence/source-packets/arc_01.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=12].subtasks[sub_id=85];tasks[task_id=12].subtasks[sub_id=86]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-005	V1-CAND-005	T1/S2/E8;T1/S2/E10;T1/S2/E12;T1/S2/E13	../evidence/source-packets/arc_00.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=1].subtasks[sub_id=2]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-006	V1-CAND-008	T1/S3/E14;T1/S3/E17;T1/S3/E19;T1/S3/D4	../evidence/source-packets/arc_00.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=1].subtasks[sub_id=3]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-007	V1-CAND-006	T157/S310/E1379;T157/S310/D454	../evidence/source-packets/arc_06.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=157].subtasks[sub_id=310]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-008	V1-CAND-007	T12/S87/E485;T12/S87/E492;T12/S88/E493;T12/S88/E498	../evidence/source-packets/arc_01.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=12].subtasks[sub_id=87];tasks[task_id=12].subtasks[sub_id=88]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-009	V1-CAND-009	T157/S311/E1392;T157/S320/D466;T157/S320/E1429;T157/S320/E1431	../evidence/source-packets/arc_06.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=157].subtasks[sub_id=311];tasks[task_id=157].subtasks[sub_id=320]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-010	V1-CAND-012	T157/S320/E1432;T157/S312/E1393;T157/S312/E1408	../evidence/source-packets/arc_06.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=157].subtasks[sub_id=312];tasks[task_id=157].subtasks[sub_id=320]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-011	V1-CAND-010	T1/S4/E20;T1/S4/E24;T1/S4/D5;T1/S4/D7	../evidence/source-packets/arc_00.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=1].subtasks[sub_id=4]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-012	V1-CAND-013	T1/S5/E25;T1/S5/E26;T1/S5/E28;T1/S5/D8	../evidence/source-packets/arc_00.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=1].subtasks[sub_id=5]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-013	V1-CAND-011	T12/S89/D104;T12/S89/E499;T12/S89/E506;T12/S90/D105;T12/S90/E507;T12/S90/E511	../evidence/source-packets/arc_01.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=12].subtasks[sub_id=89];tasks[task_id=12].subtasks[sub_id=90]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-014	V1-CAND-014	T157/S313/E1412;T157/S313/E1414;T157/S321/E1433;T157/S321/D467;T157/S322/E1437;T157/S322/D468	../evidence/source-packets/arc_06.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=157].subtasks[sub_id=313];tasks[task_id=157].subtasks[sub_id=321];tasks[task_id=157].subtasks[sub_id=322]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-015	V1-CAND-015	T1/S6/E29;T1/S6/E30;T1/S6/D9	../evidence/source-packets/arc_00.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=1].subtasks[sub_id=6]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-016	V1-CAND-016	T1/S7/E31;T1/S7/E34;T1/S7/E36;T1/S7/D10	../evidence/source-packets/arc_00.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=1].subtasks[sub_id=7]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-017	V1-CAND-017	T157/S323/E1438;T157/S323/E1442;T157/S323/E1443;T157/S323/D469	../evidence/source-packets/arc_06.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=157].subtasks[sub_id=323]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-018	V1-CAND-018	T1/S8/E37;T1/S8/E40;T1/S8/E41;T1/S8/D11;T2/S9/E42;T2/S9/E43;T2/S9/E44;T2/S9/D12	../evidence/source-packets/arc_00.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=1].subtasks[sub_id=8];tasks[task_id=2].subtasks[sub_id=9]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-019	V1-CAND-019	T12/S91/D106;T12/S91/E512;T12/S91/E515	../evidence/source-packets/arc_01.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=12].subtasks[sub_id=91]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
V1-CH-020	V1-CAND-021	T157/S310/E1379;T157/S323/E1443;T2/S9	../evidence/source-packets/arc_00.json;../evidence/source-packets/arc_06.json	packet.provenance.query_templates + packet.provenance.query_binds	tasks[task_id=2].subtasks[sub_id=9];tasks[task_id=157].subtasks[sub_id=310];tasks[task_id=157].subtasks[sub_id=323]	DIRECT_SOURCE + AUTHOR_APPROVED_NOVELIZATION_BRIDGE
