chapter_key	function_key	primary_packet	result_refs	evidence_class	writer_escalation
V5-CH-01	V5-EW-01	../evidence/source-packets/arc_11.json	tasks[task_id=382].subtasks[sub_id=566]	GAME_ALT_HISTORY + NPC_REPORT + AVATAR_ROUTE	history/death-cause/motive/Tĩnh-action
V5-CH-02	V5-EW-01	../evidence/source-packets/arc_11.json	tasks[task_id=382].subtasks[sub_id=567]	GAME_ALT_HISTORY + DOCUMENT_OBJECTIVE + COURT_REPORT	guilt/authority/document/Tĩnh-action
V5-CH-03	V5-EW-01	../evidence/source-packets/arc_11.json	tasks[task_id=382].subtasks[sub_id=568]	MEDICAL_REPORT + COURT_RELATIONSHIP + GAMEPLAY	diagnosis/efficacy/motive/Hạ-action
V5-CH-04	V5-EW-01	../evidence/source-packets/arc_11.json	tasks[task_id=382].subtasks[sub_id=569]	DEATH_REPORT + COURT_RELATIONSHIP + FUNERAL_GAMEPLAY	death-cause/history/medical-truth/Hạ-action
V5-CH-05	V5-EW-01	../evidence/source-packets/arc_11.json	tasks[task_id=382].subtasks[sub_id=570]	GAME_ALT_HISTORY + PUBLIC_UNREST_REPORT + GAMEPLAY	date/conspiracy/guilt/Tĩnh-action
V5-CH-06	V5-EW-01	../evidence/source-packets/arc_11.json	tasks[task_id=382].subtasks[sub_id=571]	COURT_INTRIGUE_REPORT + DOCUMENT_CLUE + NARRATOR_INFERENCE	motive/evidence/private-knowledge/history
V5-CH-07	V5-EW-01	../evidence/source-packets/arc_11.json	tasks[task_id=382].subtasks[sub_id=572]	POLITICAL_MOTIVE_REPORT + LETTER_OBJECTIVE + GAME_ALT_HISTORY	motive/illness/document/consensus
V5-CH-08	V5-EW-01	../evidence/source-packets/arc_11.json	tasks[task_id=382].subtasks[sub_id=573]	COURT_DEBATE_REPORT + GAME_ALT_HISTORY + AVATAR_ROUTE	chronology/command/history/Tĩnh-action
V5-CH-09	V5-EW-01	../evidence/source-packets/arc_11.json	tasks[task_id=382].subtasks[sub_id=574]	INTELLIGENCE_REPORT + PUBLIC_SENTIMENT_CLAIM + GAME_ALT_HISTORY	poem/history/network/public-consensus
V5-CH-10	V5-EW-01	../evidence/source-packets/arc_11.json	tasks[task_id=382].subtasks[sub_id=575]	OMEN_REPORT + DOCUMENT_OBJECTIVE + GAME_ALT_HISTORY	prophecy/date/causality/Tiêu-presence
V5-CH-11	V5-EW-02	../evidence/source-packets/arc_11.json	tasks[task_id=395].subtasks[sub_id=588];tasks[task_id=397].subtasks[sub_id=590]	ORGANIZATION_REPORT + NEGOTIATION_PREMISE + GAMEPLAY	Tiêu-action/commitment/command/moral-verdict
V5-CH-12	V5-EW-03	../evidence/source-packets/arc_11.json	tasks[task_id=396].subtasks[sub_id=589]	FOOD_DAMAGE_REPORT + MERCHANT_ALLEGATION + GAMEPLAY	cause/evidence/guilt/punishment/Hạ-action
V5-CH-13	V5-EW-04	../evidence/source-packets/arc_11.json	tasks[task_id=398].subtasks[sub_id=591]	PUBLIC_SELECTION_EVENT + COMBAT_GAMEPLAY + AVATAR_ROUTE	combat-rank/Tiêu-win/appointment/outcome
V5-CH-14	V5-EW-05	../evidence/source-packets/arc_11.json	tasks[task_id=399].subtasks[sub_id=592]	GAME_ALT_HISTORY + DIPLOMACY_REPORT + RESCUE_GAMEPLAY	alliance/history/identity/Tĩnh-action
V5-CH-15	V5-EW-06	../evidence/source-packets/arc_11.json	tasks[task_id=400].subtasks[sub_id=593]	LINEAGE_REPORT + CULTURAL_MEMORY + DOCUMENT_GAMEPLAY	Tiêu-lineage/corroboration/history/document-custody
V5-CH-16	V5-EW-07	../evidence/source-packets/arc_11.json	tasks[task_id=401].subtasks[sub_id=594]	PROPHECY_CLAIM + PUBLIC_EFFECT_INFERENCE + GAMEPLAY	prediction/supernatural-cause/Hạ-verdict
V5-CH-17	V5-EW-02	../evidence/source-packets/arc_11.json	tasks[task_id=402].subtasks[sub_id=595]	ORGANIZATION_REPORT + LOGISTICS_PREMISE + GAMEPLAY	Tiêu-action/commitment/capacity/outcome
V5-CH-18	V5-EW-08	../evidence/source-packets/arc_11.json	tasks[task_id=403].subtasks[sub_id=596]	MIGRANT_REPORT + INTELLIGENCE_CLAIM + RESCUE_GAMEPLAY	policy/history/lineage/loyalty/Hạ-action
V5-CH-19	V5-EW-09	../evidence/source-packets/arc_11.json	tasks[task_id=404].subtasks[sub_id=597]	CRAFTSMAN_REPORT + MATERIAL_OBJECTIVE + GAMEPLAY	weapon-mechanic/material/custody/Tiêu-action
V5-CH-20	V5-EW-10	../evidence/source-packets/arc_00.json	tasks[task_id=4].subtasks[sub_id=36];tasks[task_id=4].subtasks[sub_id=37]	APPROVED_CANON_OUTCOME + DIRECT_GAME_EVENT + PROPOSED_PLACEMENT_BRIDGE	placement/weapon/exact-time/route-logistics/responsibility-change
V5-CH-21	V5-EW-11	../evidence/source-packets/arc_12.json	tasks[task_id=442].subtasks[sub_id=635]	GAME_DATE + MOBILIZATION_REPORT + AVATAR_GAMEPLAY	chronology/history/Tĩnh-command/espionage/combat
V5-CH-22	V5-EW-11	../evidence/source-packets/arc_12.json	tasks[task_id=443].subtasks[sub_id=636]	CAMPAIGN_EVENT + ENVIRONMENTAL_HARM_REPORT + MEDICAL_CLAIM	medicine/efficacy/Hạ-action/command/casualty
V5-CH-23	V5-EW-11	../evidence/source-packets/arc_12.json	tasks[task_id=444].subtasks[sub_id=637]	INTELLIGENCE_CLUE + SABOTAGE_GAMEPLAY + GAME_ALT_HISTORY	intel-truth/Tĩnh-action/efficacy/casualty/chronology
V5-CH-24	V5-EW-11	../evidence/source-packets/arc_12.json	tasks[task_id=445].subtasks[sub_id=638]	WEAPON_EFFECT_CLAIM + SECT_MOBILIZATION + COMBAT_GAMEPLAY	weapon-power/casualty/martial-rank/Hạ-credit
