chapter_key	function_key	primary_packet	result_refs	evidence_class	writer_escalation
V3-CH-01	V3-EW-01	../evidence/source-packets/arc_08.json	tasks[task_id=228].subtasks[sub_id=403]	DIRECT_GAME_CONTEXT + GAME_SYSTEM_TRANSLATION	training-mechanism/skill-possession/command/actor
V3-CH-02	V3-EW-01	../evidence/source-packets/arc_08.json	tasks[task_id=231].subtasks[sub_id=406]	GAME_NARRATIVE_REPORT + GAME_ALT_HISTORY + PROPOSED_APERTURE	avatar-mapping/command/history/chronology
V3-CH-03	V3-EW-02	../evidence/source-packets/arc_08.json	tasks[task_id=232].subtasks[sub_id=407]	GAME_ALT_HISTORY + EDICT_REPORT + PROPOSED_APERTURE	historical-truth/escort/encounter/outcome
V3-CH-04	V3-EW-02	../evidence/source-packets/arc_08.json	tasks[task_id=233].subtasks[sub_id=408];tasks[task_id=234].subtasks[sub_id=409]	DIRECT_GAME_CHAIN + SUSPICION + PROPOSED_APERTURE	culprit/motive/escort/chronology/overheard-truth
V3-CH-05	V3-EW-02	../evidence/source-packets/arc_08.json	tasks[task_id=235].subtasks[sub_id=410]	DIRECT_GAME_EVENT + AVATAR_INFERENCE + GAMEPLAY	identity/network/combat/Tĩnh-action/outcome
V3-CH-06	V3-EW-02	../evidence/source-packets/arc_08.json	tasks[task_id=236].subtasks[sub_id=411]	NPC_ALLEGATION + AVATAR_INVESTIGATION + GAMEPLAY	objective-guilt/unified-plot/Tĩnh-action/history
V3-CH-07	V3-EW-02	../evidence/source-packets/arc_08.json	tasks[task_id=237].subtasks[sub_id=412];tasks[task_id=238].subtasks[sub_id=413]	GAME_POLITICAL_CHAIN + SOURCE_REPORT + GAMEPLAY	moral-truth/plan/actor/outcome/history/An-Dong-link
V3-CH-08	V3-EW-02	../evidence/source-packets/arc_08.json	tasks[task_id=239].subtasks[sub_id=414];tasks[task_id=240].subtasks[sub_id=415]	GAME_ALT_HISTORY + DIRECT_GAME_AFTERMATH	historical-truth/Hạ-presence/medical-result/chronology
V3-CH-09	V3-EW-03	../evidence/source-packets/arc_08.json	tasks[task_id=241].subtasks[sub_id=416];tasks[task_id=242].subtasks[sub_id=417]	INSTITUTIONAL_LORE + GAME_OBJECTIVE + CULTURAL_MEMORY	artifact-canon/historical-truth/item-collection/encounter
V3-CH-10	V3-EW-04	../evidence/source-packets/arc_08.json	tasks[task_id=243].subtasks[sub_id=418]	NPC_INTELLIGENCE_REPORT + GAME_ALT_HISTORY	historical-state/route/Tĩnh-mission/outcome
