Task_ID_Dec,Task_ID_Hex,Tên_Nhiệm_Vụ,Thể_Loại,Thứ_Tự_Logic,Số_Subtask,Người_Giao_Đầu_Tiên,Nguồn_File,Tóm_Tắt_Cốt_Truyện_Gốc
1,0000000000000001,Tứ Diện Sở Ca,Nhiệm vụ chính tuyến,linear,8,Quý Thúc Ban,Stories\task_publish\task\0000000000000001.xml,"Thiên Vương bang chủ Dương Thiết Tâm trước đây từng là đồng môn với quý tộc Tây Hạ Lý Thăng Dương, cùng bái Sở Khi Thiên phái Côn Lôn làm sư phụ. Về sau cả hai người thành tài xuất sư, Lý Thăng Dương ..."
2,0000000000000002,Bất Ngờ,Nhiệm vụ chính tuyến,linear,16,La Phong,Stories\task_publish\task\0000000000000002.xml,"Trung thần Ngu Doãn Văn tạ thế từ 20 năm trước, Cái Bang bất ngờ mất đi trụ cột chính trong triều. Nhưng đó là thời gian hai nước Tống Kim hòa bình, ngay lập tức người trong Cái Bang chia rẽ mất đoàn ..."
3,0000000000000003,Mật Lâm Thâm Xứ,Nhiệm vụ chính tuyến,linear,1,Người bắt rắn,Stories\task_publish\task\0000000000000003.xml,"Ngũ Độc Giáo bị triều đình truy sát đã gần 10 năm, Nguyên lão trong giáo đã chết gần hết, uy danh năm xưa đã không còn. Các cao thủ còn lại đang tổ chức một cuộc hội kiến, dự định sẽ kết hợp với Hồ Hi..."
4,0000000000000004,Tình Nghĩa Khó Lưỡng Toàn,Nhiệm vụ chính tuyến,linear,13,Cơ Chú,Stories\task_publish\task\0000000000000004.xml,
5,0000000000000005,Chuyện Cũ Ngũ Độc,Nhiệm vụ chính tuyến,linear,13,Cơ Chú,Stories\task_publish\task\0000000000000005.xml,
6,0000000000000006,Tuyết Dạ Kinh Biến,Nhiệm vụ chính tuyến,linear,5,Tạ Vũ Điền,Stories\task_publish\task\0000000000000006.xml,"Năm thứ 3 Thiên Khánh, Việt vương Lý Nhân Hữu băng hà. Thời kỳ đầu Hoàn Tông trị quốc, quốc gia rơi vào cảnh lầm than, người Mông Cổ ở bộ lạc Thát Đát phương Bắc như hổ đói luôn muốn ăn thịt Tây Hạ. H..."
7,0000000000000007,Thật Giả Khó Phân,Nhiệm vụ chính tuyến,linear,7,Nhất Diệp Chân Nhân,Stories\task_publish\task\0000000000000007.xml,"Vương Trùng Dương nhậm chức Chưởng giáo Võ Đang, làm cho Võ Đang Phái có lề lối, ngày càng phát triển đi lên. Nhưng việc Chưởng giáo Võ Đang năm xưa là Lý Thiên Mục mất tích một cách thần bí, luôn là ..."
8,0000000000000008,Trạch Tâm Nhân Hậu,Nhiệm vụ chính tuyến,linear,6,Huyền Bi,Stories\task_publish\task\0000000000000008.xml,"Hoàng Hà 3 lần vỡ đê, làm đường sông dời về phía nam, nước từ sông Hoài đổ ra biển; cũng khiến kinh tế Kim triều không gượng dậy nổi. Bởi vì: Thứ 1, người dân ở hai bên bờ đã ly tán nơi khác, trong đó..."
9,0000000000000009,Thiên Mục Chi Mê,Nhiệm vụ chính tuyến,linear,5,Ngột Tát,Stories\task_publish\task\0000000000000009.xml,"Bắt đầu từ năm thứ 6 Chương Tông Minh Xương (1195), bộ lạc Thát Đát phương Bắc liên tục quấy nhiễu biên cương Kim triều, không còn giữ mối quan hệ bề tôi như trước đây. Chương Tông áp dụng chiến lược ..."
10,000000000000000a,Nhân Ái Sinh Hận,Nhiệm vụ chính tuyến,linear,4,Vô Sân Sư Thái,Stories\task_publish\task\000000000000000A.xml,"Ngô Gia Quân trấn giữ Ba Thục, do Tống Kim hai nước phân tranh, miền Tây gần như độc lập, thống soái của Ngô Gia Quân là Ngô Hy trở thành hoàng đế trên thực tế, được triều đình ban cho  chức Tứ Xuyên ..."
11,000000000000000b,Thế Sự Khó Lường,Nhiệm vụ chính tuyến,linear,6,Đường Hạc,Stories\task_publish\task\000000000000000B.xml,"Đường Môn với biệt hiệu Xuyên Thục Đệ Nhất Gia đã thống lĩnh võ lâm Tây Nam mấy trăm năm nay, môn hạ tài năng vô số, rất nhiều kỳ công dị thuật. Nhưng cảnh thịnh thế này cũng dần mất đi khi môn chủ tr..."
12,000000000000000c,Huyết Quang Tai,Nhiệm vụ chính tuyến,linear,11,Đan Bích Tú,Stories\task_publish\task\000000000000000C.xml,"Tin Du Long Giác xuất thế đã mang đến đại họa cho Thúy Yên Môn. Đệ tử môn hạ tử thương thê thảm, rất may là Môn Chủ đời trước Doãn Hàm Yên dẫn theo nữ nhi Doãn Tiêu Vũ đến kịp lúc, tạo dựng lại nền mó..."
13,000000000000000d,Người Kế Vị,Nhiệm vụ chính tuyến,linear,5,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\000000000000000D.xml,
14,000000000000000e,Đột Biến,Nhiệm vụ chính tuyến,linear,5,Hàn Thác Trụ,Stories\task_publish\task\000000000000000E.xml,
15,000000000000000f,Tân Triều,Nhiệm vụ chính tuyến,linear,5,Hàn Thác Trụ,Stories\task_publish\task\000000000000000F.xml,
16,0000000000000010,Tìm Ra Lời Đáp,Nhiệm vụ chính tuyến,linear,5,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\0000000000000010.xml,
17,0000000000000011,Báo Ân,Nhiệm vụ chính tuyến,linear,6,Long Ngũ Thái Gia [<color=green>Nguyên Lão Nghĩa Quân<color>],Stories\task_publish\task\0000000000000011.xml,
18,0000000000000012,Bí Mật Che Giấu,Nhiệm vụ chính tuyến,linear,6,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\0000000000000012.xml,
19,0000000000000013,Âm Sai Dương Thác,Nhiệm vụ chính tuyến,linear,8,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\0000000000000013.xml,
20,0000000000000014,Hé Lộ Manh Mối,Nhiệm vụ chính tuyến,linear,8,Tiền Hải [Đệ Tử Ngũ Độc Giáo],Stories\task_publish\task\0000000000000014.xml,
21,0000000000000015,Súc Thế Đãi Phát,Nhiệm vụ chính tuyến,linear,7,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\0000000000000015.xml,
