task_id	task_id_hex	task_name	category	repeat	membership_status	arc_locator_id	arc_locator_path	subtask_count	step_count	dialogue_count
1	0000000000000001	Tứ Diện Sở Ca	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	00	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_00_Tan_Thu_Thon.md	8	41	11
2	0000000000000002	Bất Ngờ	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	00	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_00_Tan_Thu_Thon.md	16	67	21
3	0000000000000003	Mật Lâm Thâm Xứ	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	00	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_00_Tan_Thu_Thon.md	1	4	1
4	0000000000000004	Tình Nghĩa Khó Lưỡng Toàn	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	00	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_00_Tan_Thu_Thon.md	13	71	13
5	0000000000000005	Chuyện Cũ Ngũ Độc	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	00	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_00_Tan_Thu_Thon.md	13	71	13
6	0000000000000006	Tuyết Dạ Kinh Biến	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	00	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_00_Tan_Thu_Thon.md	5	38	7
7	0000000000000007	Thật Giả Khó Phân	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	00	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_00_Tan_Thu_Thon.md	7	46	7
8	0000000000000008	Trạch Tâm Nhân Hậu	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	00	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_00_Tan_Thu_Thon.md	6	27	5
9	0000000000000009	Thiên Mục Chi Mê	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	00	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_00_Tan_Thu_Thon.md	5	32	6
10	000000000000000a	Nhân Ái Sinh Hận	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	4	35	7
11	000000000000000b	Thế Sự Khó Lường	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	6	39	8
12	000000000000000c	Huyết Quang Tai	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	11	69	13
13	000000000000000d	Người Kế Vị	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	5	27	5
14	000000000000000e	Đột Biến	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	5	36	5
15	000000000000000f	Tân Triều	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	5	36	5
16	0000000000000010	Tìm Ra Lời Đáp	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	5	27	5
17	0000000000000011	Báo Ân	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	6	38	7
18	0000000000000012	Bí Mật Che Giấu	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	6	40	6
19	0000000000000013	Âm Sai Dương Thác	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	8	35	9
20	0000000000000014	Hé Lộ Manh Mối	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	8	27	8
21	0000000000000015	Súc Thế Đãi Phát	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	7	36	7
22	0000000000000016	Mang Ngọc Mắc Tội	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	6	26	6
23	0000000000000017	Bộ Bộ Vi Doanh	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	5	41	5
24	0000000000000018	Xua Tan Mây Mù	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	11	38	11
25	0000000000000019	Mưu Kế Thâm Sâu	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	01	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_01_Nhap_Mon_Xuat_Son.md	1	3	2
26	000000000000001a	Thu Phục	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	02	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_02_Giang_Ho_So_Khoi.md	1	2	3
27	000000000000001b	Nghĩa Khí La Phong	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	02	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_02_Giang_Ho_So_Khoi.md	1	3	3
28	000000000000001c	Bố Giả Thương	Loại editor nhiệm vụ thông dụng	0	LOCATOR_LISTED	02	migration/source_corpus/02_Narrative_Book/01_Chinh_Tuyen/Arc_02_Giang_Ho_So_Khoi.md	1	5	2
