chapter_key	function_key	primary_packet	result_refs	evidence_class	writer_escalation
V4-CH-01	V4-EW-01	../evidence/source-packets/arc_09.json	tasks[task_id=313].subtasks[sub_id=488];tasks[task_id=314].subtasks[sub_id=489]	GAME_ALT_HISTORY + NPC_REPORT + GAME_CAUSAL_TRACE	conspiracy/document/custody/medicine/actor
V4-CH-02	V4-EW-01	../evidence/source-packets/arc_09.json	tasks[task_id=315].subtasks[sub_id=490]	NPC_GUIDANCE + GAME_OBJECTIVE + AVATAR_INFERENCE	identity/motive/culprit/document-truth/actor
V4-CH-03	V4-EW-02	../evidence/source-packets/arc_09.json	tasks[task_id=316].subtasks[sub_id=491]	SOURCE_BIOGRAPHY_REPORT + OCCULT_CLAIM + PROPOSED_APERTURE	biography-truth/occult-mechanism/love/Hạ-contact
V4-CH-04	V4-EW-02	../evidence/source-packets/arc_09.json	tasks[task_id=317].subtasks[sub_id=492]	DIRECT_GAME_PLAN + MEDICAL_OCCULT_EFFECT_CLAIM	formula/efficacy/death-state/Hạ-action/mechanism
V4-CH-05	V4-EW-02	../evidence/source-packets/arc_09.json	tasks[task_id=318].subtasks[sub_id=493]	DIRECT_GAME_AFTERMATH + COVER_DIAGNOSIS + GAMEPLAY	recovery-mechanism/betrayal/document-contents/custody/actor
V4-CH-06	V4-EW-03	../evidence/source-packets/arc_09.json	tasks[task_id=319].subtasks[sub_id=494]	NPC_ALLEGATION + LABOR_HARM_REPORT + GAMEPLAY	guilt/casualty/history/Hạ-action/remedy
V4-CH-07	V4-EW-03	../evidence/source-packets/arc_09.json	tasks[task_id=320].subtasks[sub_id=495]	GAME_ALT_HISTORY + SOURCE_REPORT + GAME_EVENT	instigator/motive/command/battle/chronology
V4-CH-08	V4-EW-03	../evidence/source-packets/arc_10.json	tasks[task_id=321].subtasks[sub_id=496]	GAME_ALT_HISTORY + ORGANIZATION_ACTION + GAMEPLAY	Tĩnh-command/alliance/casualty/outcome/history
V4-CH-09	V4-EW-03	../evidence/source-packets/arc_10.json	tasks[task_id=322].subtasks[sub_id=497]	GAME_ALT_HISTORY + NARRATOR_JUDGMENT + LEGENDARY_LORE	succession/ordination/martial-lineage/canon-profile
V4-CH-10	V4-EW-04	../evidence/source-packets/arc_10.json	tasks[task_id=323].subtasks[sub_id=498]	NPC_INTELLIGENCE_REPORT + GAME_OBJECTIVE	list-content/truth/custody/Tĩnh-mission/action
V4-CH-11	V4-EW-05	../evidence/source-packets/arc_10.json	tasks[task_id=324].subtasks[sub_id=499]	DIRECT_SOURCE_CONTEXT + NARRATOR_INFERENCE + GAMEPLAY	magic/future/age/trauma/Tiêu-care
V4-CH-12	V4-EW-05	../evidence/source-packets/arc_10.json	tasks[task_id=325].subtasks[sub_id=500]	GAME_ALT_HISTORY + PERSECUTION_REPORT + GAMEPLAY	historical-policy/Tiêu-action/rescue/outcome
V4-CH-13	V4-EW-05	../evidence/source-packets/arc_10.json	tasks[task_id=326].subtasks[sub_id=501]	SOLDIER_TESTIMONY + MEDICAL_SURVIVAL_CLAIM + GAMEPLAY	history/duration/medical-truth/Tiêu-rescue
V4-CH-14	V4-EW-05	../evidence/source-packets/arc_10.json	tasks[task_id=327].subtasks[sub_id=502]	COERCION_REPORT + MEDICAL_ALLEGATION + LETTER_OBJECTIVE	pregnancy/poison/guilt/Hạ-action/exoneration
V4-CH-15	V4-EW-05	../evidence/source-packets/arc_10.json	tasks[task_id=328].subtasks[sub_id=503]	MERCHANT_REPORT + GAME_EVENT + GAMEPLAY	Tiêu-action/route/casualty/list-custody/outcome
