candidate_id	movement_id	primary_pov	chapter_function	entry_state	exit_state	source_nodes	event_family_ids	bridge_decisions	knowledge_in	knowledge_out	npc_agency	irreversible_change	causal_predecessors	causal_returns	narrative_load	coverage_channel	protected_unknowns	status
V1-CAND-001	M1	TINH_XUYEN	Đặt Tĩnh Xuyên trước một cuộc chuyển quyền dựa trên võ lực nhưng chưa tự tạo đồng thuận, gieo niềm tin và nghi vấn về chính danh.	THIEN_VUONG_SUCCESSION_UNSET; Tĩnh Xuyên tin năng lực có thể tạo chính danh.	DUONG_THIET_TAM_NEW_BANG_MASTER; quyền lực mới vẫn bị thử thách.	T1/S1/E3;T1/S1/E6;T1/S1/D2	EF-T0001	R-14;TX-I-A;CAPQ-03;R-47;V1CAQ-01	Chỉ biết Anh Cô trở về và cuộc tuyển chọn qua điều trực tiếp thấy hoặc nghe.	Biết Dương Thiết Tâm nhận vị trí bang chủ và một số nguyên lão còn dè dặt; không biết ông mặc nhiên đúng.	Anh Cô định cơ chế kế vị; Dương Thiết Tâm tự chứng minh; Quý Thúc Ban và các cao thủ giữ phản ứng riêng.	Dương Thiết Tâm trở thành bang chủ.	NONE_OPENING	V1-CAND-005;V1-CAND-008	MEDIUM	DIRECT_TRIO	Tĩnh Xuyên trực tiếp đấu hay chỉ chứng kiến; phân vai chiến thắng avatar; tuổi, cấp bậc và gia thế.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-002	M1	TIEU_PHUNG	Dựng cộng đồng nuôi Tiêu Phùng như một mạng lao động và bảo hộ, không kể thành chuỗi tutorial hay cấp võ công.	Tiêu Phùng 18 tuổi được Nghĩa quân bảo hộ và chưa biết thân thế thật.	Chàng hiểu đời sống mình dựa trên công sức, nghề nghiệp và quy tắc của nhiều người.	T157/S306/D446;T157/S307;T157/S308;T157/S309	EF-T0157	R-11;R-12;R-14;R-47;V1CAQ-01	Biết mình được Nghĩa quân nuôi; hỏi về cha mẹ nhưng chưa có câu trả lời khách quan.	Biết khó khăn hữu hình và những người duy trì cộng đồng; thân thế thật vẫn ngoài tri thức.	Thu Di, Long Ngũ, Điềm Tửu và các chủ tiệm tự đặt quy tắc, truyền việc và duy trì đời sống.	NONE_BASELINE_WITH_RETURN_TO_V1-CAND-009_AND_V1-CAND-017	NONE_OPENING	V1-CAND-003;V1-CAND-006;V1-CAND-009	MEDIUM	LIVING_LORE	Năm sinh dương lịch; họ thật; cha mẹ; võ công hoặc nghề đã thành thạo.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-003	M1	TIEU_PHUNG	Biến chuyện Hứa Sĩ Vĩ–Thẩm Thiết Thạch thành bài học về chi phí chăm sóc và sự nguy hiểm của phán đoán vội.	Tiêu Phùng xem các yêu cầu của Thẩm là vô lý và chỉ thấy Hứa nhẫn nhịn.	Chàng biết qua lời Hứa rằng Thẩm từng chịu thương tích cứu người, nên sửa cách nhìn về món nợ chăm sóc dài hạn.	T157/S317/D463;T157/S318/D464;T157/S319/D465	EF-T0157	R-14;TP-I-A;R-47;V1CAQ-01	Biết hành vi kỳ quặc và yêu cầu của Thẩm qua trải nghiệm tại chỗ.	Biết lời kể của Hứa về quan hệ và thương tích; không biết chân tướng toàn bộ bệnh hoặc kẻ gây thương.	Hứa kiên trì chăm Thẩm; Thẩm từng cứu Hứa; Thẩm Hà Diệp giữ quan hệ gia đình riêng.	Tiêu Phùng sửa một phán đoán đạo đức, tạo chuẩn nội tâm cho việc không tự ôm mọi trách nhiệm.	V1-CAND-002	V1-CAND-009;V1-CAND-012	MEDIUM	DIRECT_TRIO	Tiên lượng thật; thuốc chữa; kẻ gây thương; số phận Thẩm Thiết Thạch.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-004	M1	HA_NUONG	Đặt xung đột giữa quan sát thực chứng của Hạ Nương, niềm tin của Ma Y và khát vọng của Lệ Thu Thủy mà không xác nhận sự thật Du Long Giác.	Hạ Nương giữ khoảng cách bằng điều quan sát được; Bách Hoa là không gian môn phái khép kín.	Nàng biết Lệ Thu Thủy và Ma Y đang hành động theo một diễn giải về Du Long Giác; người ngoài đã bị hút tới nhưng custody/công năng bất định.	T12/S85/D100;T12/S85/E473;T12/S86/D101;T12/S86/E483;T12/S86/E484	EF-T0012	R-14;R-28;R-34;BFCQ-04;CDI-05;R-47;V1CAQ-01	Biết y lý và sinh hoạt môn phái; chưa biết artifact có thật hoặc có tác dụng gì.	Biết ai nói gì, có việc đo đạc và xâm nhập; không biết Ma Y đúng hay ai giữ vật.	Lệ Thu Thủy tự chọn tiếp tục tìm; Ma Y đưa diễn giải; Đan Bích Tú và người trong phái duy trì đường vào Bách Hoa.	NONE_EPISTEMIC_PRESSURE_WITH_RETURN_TO_V1-CAND-007_AND_V1-CAND-025	NONE_OPENING	V1-CAND-007;V1-CAND-025	MEDIUM	DIRECT_TRIO	DU_LONG_OBJECTIVE_CUSTODY; artifact function; độ đúng của Ma Y; actor combat/retrieval S86.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-005	M2	TINH_XUYEN	Buộc Tĩnh Xuyên thấy quân lệnh đang vận hành trên lời tố cáo chưa chứng minh, đồng thời nhận tin Du Long dưới dạng báo cáo cần kiểm chứng.	Dương vừa nắm quyền; Cầu Chỉ Thủy chưa có phán quyết đáng tin.	CAU_CHI_THUY_DETAINED_CLAIM_UNPROVEN; DU_LONG_REPORT_RECEIVED_FROM_CHENGDU; Bùi Dực Phi được giao xác minh.	T1/S2/E8;T1/S2/E10;T1/S2/E12;T1/S2/E13	EF-T0001	R-14;TX-I-B;C-I-04;R-47;V1CAQ-01	Biết Cầu bị tố cáo qua lời tổ chức, chưa tự kiểm chứng.	Biết Quý nghi cáo buộc; thư Thành Đô nói Du Long xuất hiện ở Thúy Yên; không biết tin đúng hoặc custody thật.	Cầu chọn im lặng; Quý phản biện; sứ giả Thành Đô chuyển thư; Dương dùng mạng tình báo thay vì đóng toàn bộ phán quyết.	NONE_PRESSURE_ESCALATION_CUSTODY_AND_GUILT_REMAIN_OPEN	V1-CAND-001	V1-CAND-008	MEDIUM	DOCUMENT_TRACE	Cầu có tội hay không ngoài source; quan hệ giữa tin T1/S2 và T12/S92; custody; lịch tuyệt đối.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-006	M2	TIEU_PHUNG	Chuyển việc khảo sát môn phái thành lựa chọn môi trường sống, không thành màn gia nhập hoặc nhận võ công tức thì.	Tiêu Phùng chưa biết mình muốn thuộc về thiết chế nào.	Chàng chọn hướng tìm đến Cái Bang qua đầu mối La Tuấn; lễ gia nhập và năng lực vẫn mở.	T157/S310/E1379;T157/S310/D454	EF-T0157	R-14;R-27;PB-02;R-47;V1CAQ-01	Biết các môn phái qua lời giới thiệu có giới hạn.	Có một hướng thuộc về và đầu mối; chưa có tri thức nội bộ Cái Bang.	Các tiếp dẫn trình bày môn phái; Thu Di yêu cầu khảo sát nhưng không quyết định thay.	Tiêu Phùng cam kết một hướng xuất hành, chưa nhận địa vị hay sức mạnh.	V1-CAND-002	V1-CAND-017;V1-CAND-021	LIGHT	DIRECT_TRIO	Lễ nhập bang; sư phụ; nhánh võ học; thư giới thiệu; đường đi.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-007	M2	HA_NUONG	Chuyển nguy cơ trừu tượng thành thương tích cụ thể, kéo Hạ Nương khỏi vị trí người quan sát để cứu người trong khi môn phái tự phòng thủ.	Chu Tước hư hại; báo động nổi lên; các đội Thúy Yên đã tự vào vị trí.	Người bị lửa hại được đưa khỏi hiểm địa; Hạ Nương gánh trách nhiệm chăm sóc nhưng chưa biết thủ phạm hoặc custody.	T12/S87/E485;T12/S87/E492;T12/S88/E493;T12/S88/E498	EF-T0012	R-28;PB-04;R-34;BFCQ-04;CDK-05;R-47;V1CAQ-01	Chỉ biết báo động, dấu hư hại và môn phái bị xâm nhập.	Biết mức nguy qua lửa, thương tích và lời đệ tử; không biết lai lịch địch hoặc artifact truth.	Giảo Giảo dẫn người giữ cửa; đệ tử tự chiến đấu; Lệ Thu Thủy và Chung Linh Tú chỉ huy.	NONE_PRESSURE_ESCALATION; lựa chọn không thể hoàn tác được giữ cho V1-CAND-019.	V1-CAND-004	V1-CAND-011;V1-CAND-019	HEAVY	DIRECT_TRIO	Số thương vong; danh tính/kế hoạch địch; combat actors; custody; Huyền Nguyệt mechanism.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-008	M2	TINH_XUYEN	Biến khủng hoảng nội bộ thành lựa chọn chính trị: tổ chức can dự cứu Hàn Thác Trụ trong khi bằng chứng mới làm lung lay vụ Cầu Chỉ Thủy.	Cầu đang bị nghi; Bùi đang điều tra; Du Long là tin báo chưa kiểm.	Bùi đưa bằng chứng Cầu khó là nội gián; Dương trục xuất Cầu nhưng nhận trách nhiệm cứu Hàn; Thiên Vương can dự triều chính.	T1/S3/E14;T1/S3/E17;T1/S3/E19;T1/S3/D4	EF-T0001	R-14;TX-I-C;R-47;V1CAQ-01	Biết tổ chức bất đồng và chưa biết nội dung ống thư.	Biết Lý Tuyền tự nhận thị vệ, lãnh đạo bàn cứu Hàn và Bùi phản bác giả thuyết Cầu là nội gián; chưa có historical truth.	Lý Tuyền tự tìm đường chuyển thư; Bùi theo dấu; Lâu và Quý phản đối theo lý do riêng; Dương quyết định và chịu trách nhiệm.	Thiên Vương nhận can dự cứu Hàn; Cầu bị trục xuất trong xử lý tổ chức.	V1-CAND-005	V1-CAND-010;V1-CAND-018	HEAVY	DOCUMENT_TRACE	Chân tướng mọi phe triều đình; nội dung ngoài lời nguồn; phân vai sát thủ; không rehearsal Ân Đồng.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-009	M2	TIEU_PHUNG	Đưa khủng hoảng Giới Sơn Tông tới lựa chọn bảo vệ hạ tầng cộng đồng thay vì giải cứu cá nhân tức thời.	Giới mất tích; nguy cơ đối với thôn chưa rõ.	Tiêu Phùng lấy 20 chìa khóa, biết Giới bị thương và chấp nhận mang chìa khóa đi trước.	T157/S311/E1392;T157/S320/D466;T157/S320/E1429;T157/S320/E1431	EF-T0157	R-14;TP-I-C;R-47;V1CAQ-01	Biết Giới bị bắt nhưng chưa hiểu nguy cơ thủy lưu.	Biết lời Giới về hệ thống, 21 chìa khóa và ưu tiên bảo vệ thôn; chưa biết thôn đã ngập hoặc phe nào phối hợp.	Giới thiết kế hệ thống, tự quyết ở lại và chỉ dẫn ưu tiên; các nhóm bắt giữ có mục tiêu chưa đồng nhất.	Tiêu rời Giới với 20 chìa khóa thay vì tự mình đưa ông về.	V1-CAND-003	V1-CAND-012	HEAVY	DIRECT_TRIO	Tình trạng ngập; số nạn nhân; chìa thứ 21; cách Giới thoát; phân phối từng trận.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-010	M2	TINH_XUYEN	Cho Tĩnh Xuyên làm một mắt xích hộ tống và nhận ra sinh mạng Hàn phụ thuộc mạng người, mồi nhử, quân tiếp ứng và thủy đạo chứ không chỉ võ lực cá nhân.	Thiên Vương đã quyết định cứu Hàn; tuyến thoát bị truy sát.	Hàn được bàn giao cho cao thủ Thiên Vương và rời theo thủy đạo bí mật; phần việc của Tĩnh Xuyên kết thúc ở một mắt xích.	T1/S4/E20;T1/S4/E24;T1/S4/D5;T1/S4/D7	EF-T0001	R-14;TX-I-C;R-47;V1CAQ-01	Biết kế hoạch hộ tống cục bộ và yêu cầu giữ bí mật.	Biết Hàn đã rời đảo qua mạng tiếp ứng; chưa có bằng chứng đủ để kết luận toàn Ngũ Độc hoặc chủ mưu.	Hàn và vệ sĩ tự lựa chọn; Lư Tiếu Bần có mục tiêu riêng; lực lượng tinh nhuệ Thiên Vương nhận chặng cuối.	Hàn rời khỏi cửa sổ Thanh Loa.	V1-CAND-008	V1-CAND-013	HEAVY	DIRECT_TRIO	Phân phối từng đòn; thương tích; chủ mưu; thời lượng và đường thủy chính xác.	AUTHOR-APPROVED PLANNING / NOT CANON
