chapter_no	chapter_key	working_title	source_function_id	movement_id	primary_pov	narrative_load	word_band	source_nodes	packet_refs	causal_predecessors	causal_returns	status
01	V1-CH-001	Ngôi Chủ Chưa Yên	V1-CAND-001	M1	TINH_XUYEN	MEDIUM	4.000–4.800 từ	T1/S1/E3;T1/S1/E6;T1/S1/D2	../evidence/source-packets/arc_00.json	NONE_OPENING	V1-CAND-005;V1-CAND-008	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
02	V1-CH-002	Những Bếp Lửa Nuôi Người	V1-CAND-002	M1	TIEU_PHUNG	MEDIUM	4.000–4.800 từ	T157/S306/D446;T157/S307;T157/S308;T157/S309	../evidence/source-packets/arc_06.json	NONE_OPENING	V1-CAND-003;V1-CAND-006;V1-CAND-009	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
03	V1-CH-003	Món Nợ Bên Giường	V1-CAND-003	M1	TIEU_PHUNG	MEDIUM	4.000–4.800 từ	T157/S317/D463;T157/S318/D464;T157/S319/D465	../evidence/source-packets/arc_06.json	V1-CAND-002	V1-CAND-009;V1-CAND-012	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
04	V1-CH-004	Một Lời Về Ngọc	V1-CAND-004	M1	HA_NUONG	MEDIUM	4.000–4.800 từ	T12/S85/D100;T12/S85/E473;T12/S86/D101;T12/S86/E483;T12/S86/E484	../evidence/source-packets/arc_01.json	NONE_OPENING	V1-CAND-007;V1-CAND-025	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
05	V1-CH-005	Hai Tờ Tin Dữ	V1-CAND-005	M2	TINH_XUYEN	MEDIUM	4.000–4.800 từ	T1/S2/E8;T1/S2/E10;T1/S2/E12;T1/S2/E13	../evidence/source-packets/arc_00.json	V1-CAND-001	V1-CAND-008	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
06	V1-CH-006	Người Bị Đuổi, Kẻ Nhận Lệnh	V1-CAND-008	M2	TINH_XUYEN	HEAVY	4.400–5.200 từ; bắt buộc split-review nếu dự kiến vượt 5.500 từ	T1/S3/E14;T1/S3/E17;T1/S3/E19;T1/S3/D4	../evidence/source-packets/arc_00.json	V1-CAND-005	V1-CAND-010;V1-CAND-018	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
07	V1-CH-007	Chọn Một Nẻo Đi	V1-CAND-006	M2	TIEU_PHUNG	LIGHT	3.500–4.200 từ; không kéo dài chỉ để đủ quota	T157/S310/E1379;T157/S310/D454	../evidence/source-packets/arc_06.json	V1-CAND-002	V1-CAND-017;V1-CAND-021	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
08	V1-CH-008	Lửa Dưới Mái Hoa	V1-CAND-007	M2	HA_NUONG	HEAVY	4.400–5.200 từ; bắt buộc split-review nếu dự kiến vượt 5.500 từ	T12/S87/E485;T12/S87/E492;T12/S88/E493;T12/S88/E498	../evidence/source-packets/arc_01.json	V1-CAND-004	V1-CAND-011;V1-CAND-019	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
09	V1-CH-009	Hai Mươi Chìa Khóa	V1-CAND-009	M2	TIEU_PHUNG	HEAVY	4.400–5.200 từ; bắt buộc split-review nếu dự kiến vượt 5.500 từ	T157/S311/E1392;T157/S320/D466;T157/S320/E1429;T157/S320/E1431	../evidence/source-packets/arc_06.json	V1-CAND-003	V1-CAND-012	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
10	V1-CH-010	Chìa Khóa Rời Tay	V1-CAND-012	M2	TIEU_PHUNG	MEDIUM	4.000–4.800 từ	T157/S320/E1432;T157/S312/E1393;T157/S312/E1408	../evidence/source-packets/arc_06.json	V1-CAND-009	V1-CAND-014;V1-CAND-017	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
11	V1-CH-011	Thủy Đạo Không Tên	V1-CAND-010	M2	TINH_XUYEN	HEAVY	4.400–5.200 từ; bắt buộc split-review nếu dự kiến vượt 5.500 từ	T1/S4/E20;T1/S4/E24;T1/S4/D5;T1/S4/D7	../evidence/source-packets/arc_00.json	V1-CAND-008	V1-CAND-013	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
12	V1-CH-012	Cỏ Độc, Cờ Quan	V1-CAND-013	M2	TINH_XUYEN	MEDIUM	4.000–4.800 từ	T1/S5/E25;T1/S5/E26;T1/S5/E28;T1/S5/D8	../evidence/source-packets/arc_00.json	V1-CAND-010	V1-CAND-015	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
13	V1-CH-013	Người Giữ Cửa Bách Hoa	V1-CAND-011	M2	HA_NUONG	HEAVY	4.400–5.200 từ; bắt buộc split-review nếu dự kiến vượt 5.500 từ	T12/S89/D104;T12/S89/E499;T12/S89/E506;T12/S90/D105;T12/S90/E507;T12/S90/E511	../evidence/source-packets/arc_01.json	V1-CAND-007	V1-CAND-019	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
14	V1-CH-014	Trục Cuốn Rách	V1-CAND-014	M2	TIEU_PHUNG	HEAVY	4.400–5.200 từ; bắt buộc split-review nếu dự kiến vượt 5.500 từ	T157/S313/E1412;T157/S313/E1414;T157/S321/E1433;T157/S321/D467;T157/S322/E1437;T157/S322/D468	../evidence/source-packets/arc_06.json	V1-CAND-012	V1-CAND-017	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
15	V1-CH-015	Một Bãi Giữ Được	V1-CAND-015	M2	TINH_XUYEN	HEAVY	4.400–5.200 từ; bắt buộc split-review nếu dự kiến vượt 5.500 từ	T1/S6/E29;T1/S6/E30;T1/S6/D9	../evidence/source-packets/arc_00.json	V1-CAND-013	V1-CAND-016	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
16	V1-CH-016	Tiễn Xa Và Quân Lệnh	V1-CAND-016	M2	TINH_XUYEN	MEDIUM	4.000–4.800 từ	T1/S7/E31;T1/S7/E34;T1/S7/E36;T1/S7/D10	../evidence/source-packets/arc_00.json	V1-CAND-015	V1-CAND-018	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
17	V1-CH-017	Bốn Câu Trên Giấy Rách	V1-CAND-017	M3	TIEU_PHUNG	HEAVY	4.400–5.200 từ; bắt buộc split-review nếu dự kiến vượt 5.500 từ	T157/S323/E1438;T157/S323/E1442;T157/S323/E1443;T157/S323/D469	../evidence/source-packets/arc_06.json	V1-CAND-006;V1-CAND-014	V1-CAND-021	AUTHOR-APPROVED PLANNING / V1CBQ-01–06 / NOT CANON
