task_id	task_name	event_family_id	coverage_tier	primary_channel	trio_owner	volume_candidate	disposition_rule	reason
1	Tứ Diện Sở Ca	EF-T0001	A	DIRECT_TRIO	tinh-xuyen	I	CORE_APPROVED	Core role from R-14 and approved volume architecture; subtask allocation remains draft.
2	Bất Ngờ	EF-T0002	A	DIRECT_TRIO	tieu-phung	I	CORE_APPROVED	Core role from R-14 and approved volume architecture; subtask allocation remains draft.
3	Mật Lâm Thâm Xứ	EF-T0003	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
4	Tình Nghĩa Khó Lưỡng Toàn	EF-NGUDOC-SEX	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
5	Chuyện Cũ Ngũ Độc	EF-NGUDOC-SEX	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
6	Tuyết Dạ Kinh Biến	EF-T0006	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
7	Thật Giả Khó Phân	EF-T0007	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
8	Trạch Tâm Nhân Hậu	EF-T0008	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
9	Thiên Mục Chi Mê	EF-T0009	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
10	Nhân Ái Sinh Hận	EF-T0010	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
11	Thế Sự Khó Lường	EF-T0011	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
12	Huyết Quang Tai	EF-T0012	A	DIRECT_TRIO	ha-nuong	I	CORE_APPROVED	Core role from R-14 and approved volume architecture; subtask allocation remains draft.
13	Người Kế Vị	EF-T0013	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
14	Đột Biến	EF-T0014	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
