term	task_id	sub_id	source_table	row_id	source_field	context
Du Long Giác	1	2	steps	11	target_params	"…ậm trễ.""<end> <playername>: ""Rốt cuộc là việc gì?""<end> <npc=14>: ""Thúy Yên Môn ở Đại Lý đã có được hung ngọc Du Long Giác rồi! Thiên hạ sắp đại loạn!""<end>,Kim Cang: Ngươi có thể về trả nhiệm vụ,{Thư của Thiên Vương phân đà,20,1,13…"
Du Long Giác	1	2	steps	12	target_params	"…,0,1},Xin chào!,Ngươi thật đáng khen; 1022,2,1; 1022,10,0; <npc=4>: ""Nội dung thư ... ... ...""<end> <npc=4>: ""Du Long Giác? Chẳng phải miếng ngọc đã mất tích hơn 100 năm trước, có sức mạnh đảo lộn càn khôn trong truyền thuyết? Sao l…"
Du Long Giác	1	2	steps	13	target_params	"12,403,<subtaskname>,<playername>: ""Dực Phi, bang chủ nhận được thư từ phân đà Thành Đô, Du Long Giác xuất hiện ở Thúy Yên Môn. Bang chủ mong ngươi đích thân thám thính.""<end> <npc=12>: ""Việc này ta đã nghe, e v…"
Du Long Giác	1	2	subtasks	2	describe_cleaned	…gian này ta sẽ rất vất vả, xử lý xong chuyện này mới có thể nghỉ ngơi. • Đệ Tử Phân Đà Thành Đô được tin Ngọc Du Long Giác tái xuất giang hồ, nhưng Du Long Giác ở đâu y lại không rõ, chỉ vội vàng đem thư giao cho ta, nhờ chuyển đến …
Du Long Giác	6	55	steps	278	target_params	"…pc=175>: ""Ha ha! Nếu đã vậy, tiên sinh không cần lo nghĩ nữa! Không biết tiên sinh đã từng nghe nhắc đến ngọc Du Long Giác chưa?""<end> <npc=154>: ""Du Long Giác? Có phải là vật có thể xoay chuyển càn khôn, lật triều đổi đại không?""<e…"
Du Long Giác	6	55	subtasks	55	describe_cleaned	…t Phẩm Đường Chủ Lý Thăng Dương đã tiết lộ kế hoạch tuyệt vời; kế hoạch đoạt lấy thiên hạ hình như là dựa vào Du Long Giác, trong khi ta đang lắng nghe thì Thu Thạch tiên sinh ra ám hiệu, mau chóng đến [Thạch tượng cơ quan 1 tại Kiế…
Du Long Giác	6	56	steps	286	target_params	"…ờng rằng Lý Thăng Dương trên đường bị người cướp mất, chưa biết là người của ai, nhưng có nghe chúng nhắc đến Du Long Giác gì đó.""<end> <playername>: ""Bọn Nhất Phẩm Đường đó sao có thể tin ta?""<end> <npc=146>: ""Để cho chúng lục soát…"
Du Long Giác	6	56	steps	287	target_params	"…ợc người cơ chứ?...""<end> <playername>: ""Tại hạ tận mắt chứng kiến, bọn người đó đều là cao thủ, chúng hỏi về Du Long Giác, Lý đường chủ không trả lời, bọn chúng liền ra tay!""<end> <npc=180>: ""Nếu người còn xảo ngôn! Nhất Phẩm Đường…"
Du Long Giác	6	56	steps	290	target_params	…cũng không học được gì nữa! Theo như đối thoại của Chưởng môn với Lý Thăng Dương, Nhất Phẩm Đường có nhắc đến Du Long Giác, nếu vật này xuất hiện thiên hạ tất lâm nguy, đó cũng là nguyên nhân chưởng môn quyết định khóa Văn Khúc Động…
Du Long Giác	6	56	subtasks	56	describe_cleaned	…uyện trong động. Kế hoạch của Lý Thăng Dương làm tiên sinh rất thán phục. Hắn nói một bí mật có liên quan đến Du Long Giác, càng làm người ta không thể không tin người này có thể đoạt lấy thiên hạ. Thu Thạch tiên sinh khen Lý Thăng …
Du Long Giác	7	57	dialogues	67	cleaned_text	"…huyện này rất hệ trọng! Xin tiền bối dẫn đường!"" [Nhất Diệp Chân Nhân]: ""Rốt cuộc là chuyện gì?"" [Đại Hiệp]: ""Du Long Giác."" [Nhất Diệp Chân Nhân]: ""Du Long Giác? Ngươi không nhầm chứ?"" [Đại Hiệp]: ""Không! Chính là vật có thể xoay c…"
Du Long Giác	7	57	steps	298	target_params	"…>: ""Chân nhân, tại hạ đã dẫn <if me.nSex==0>Vĩnh Xương huynh<else>Vĩnh Xương đại ca<endif> đến rồi! Về chuyện Du Long Giác, xin tiền bối cứ căn dặn!""<end> <npc=189>: ""Bần đạo đã bàn bạc với chưởng giáo, người rất xem trọng việc này!…"
Du Long Giác	7	57	steps	299	target_params	"…nd> <npc=190>: ""<if me.nSex==0>Thiếu hiệp<else>Cô nương<endif> không cần khách sáo! Nghe nói ngươi báo tin về Du Long Giác? Miếng ngọc này có liên quan rất lớn đối với Võ Đang ta!""<end> <playername>: ""Chuyện này cơ mật! Xin Đạo trưở…"
Du Long Giác	7	58	dialogues	68	cleaned_text	"…rùng Dương]: ""Nếu không cẩn thận xử lý, e rằng đại nạn sẽ đến. Võ Đang ta cũng không thể đứng ngoài cuộc. Nếu Du Long Giác quả nhiên thần kỳ như thế. Ta cần tiêu diệt nó, giải trừ đại nạn cho võ lâm!"""
Du Long Giác	7	58	subtasks	58	describe_cleaned	Báo tin Du Long Giác xuất thế cho Vương Trùng Dương đạo trưởng, sau đó có thư của đạo hữu đạo giáo Đại Lý gửi đến. Thúy Yên Môn lấ…
Du Long Giác	7	59	steps	306	target_params	"…ại hạ cũng đã học hỏi được rất nhiều.""<end> <npc=788>: ""Khách tọa Chưởng giáo mới báo tin đã có tung tích của Du Long Giác. Ngươi qua đó đi, ta muốn ngắm thanh kiếm cổ này.""<end> <playername>: ""Vậy tiểu nhân cáo từ.""<end>,<npc=788>:…"
Du Long Giác	7	59	steps	307	target_params	"190,436,<subtaskname>,<npc=190>: ""<playername> đến rồi à?""<end> <playername>: ""Nghe nói đạo trưởng có tin của Du Long Giác.""<end> <npc=190>: ""Phải, chắc ngươi biết tại sao ta là Khách tọa Chưởng giáo của Võ Đang, mà không phải Chưởn…"
Du Long Giác	7	59	subtasks	59	describe_cleaned	…biển cũng phải tìm được thuốc chữa trị cho đệ tử. Lại nói Trùng Dương đạo trưởng đã điều tra được tin tức của Du Long Giác, ta phải lập tức đi tìm [Vương Trùng Dương tại Vân Lộc Thủy Cư (1539/3114)]. Hãy để ông ta ở lại một mình với…
Du Long Giác	7	61	dialogues	71	cleaned_text	"…a và Đạo gia."" [Vương Trùng Dương]: ""E rằng việc tranh luận năm nay phải dời lại. Linh Hạc chân nhân biết tin Du Long Giác xuất thế, bèn đốt hương, tẩy trần, chuyên tâm đoán quẻ, mong thấy được thiên cơ, tìm được long mạch. Vì thế, …"
